race,gender,body_size,age_range,with_kids,kids_category,basket_size,basket_colour,attire,shirt_colour,shirt_type,pants_colour,pants_type,wash_item,washer_no,dryer_no,spectacles,timespent_minutes,buydrinks,totalspent_rm,latitude,longitude,num_of_baskets,location,amenity,road,quarter,town,city,state,iso3166-2-lvl4,postcode,neighbourhood,hamlet,residential,suburb,leisure,tourism,office,aeroway,building,industrial,highway,house_number,man_made,district,historic,landuse,shop,city_district,commercial,railway,craft,locality,retail,village,place,club,military,Super Dryclean Sdn Bhd,Jag Nasmech Sdn Bhd,Zack Laundry,Dobi Auto Sdn Bhd,Dobi Pro Enterprise,Laundry Bar (Pantai Hillpark) - 24 Hours,year,month,day,hour,minute,second
0,0,2,29.0,0,3,1,10,0,2,1,0,0,2,3,7,2,54.0,3.0,10.0,2.951222745,101.7235245,3.0,561,326,1674,37,6,5,0,2,62050.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,13,36,46
0,0,1,44.0,0,1,0,10,0,9,1,10,0,1,5,7,0,30.0,3.0,20.0,2.939402932,101.6633933,1.0,423,106,1214,13,2,6,1,0,61250.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,12,10,46
0,0,1,42.0,1,1,1,5,0,0,1,0,0,1,3,8,0,22.0,2.0,13.0,2.947776713,101.6978995,3.0,524,326,1618,32,6,5,0,2,62514.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,13,44,3
0,1,2,41.0,0,1,0,10,3,0,2,3,0,1,6,9,0,50.0,3.0,18.0,2.9662059,101.6346878,1.0,718,326,1674,125,6,6,1,0,47120.0,208,15,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,13,47,46
4,1,2,36.0,2,4,2,8,3,4,2,11,1,0,5,9,2,20.0,0.0,13.0,2.966805235,101.691886,3.0,729,326,1674,36,6,5,0,2,62502.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,14,39,57
2,1,0,40.0,0,1,0,9,3,0,2,2,0,2,4,10,0,60.0,3.0,19.0,2.904241872,101.6693722,2.0,13,326,767,45,6,5,0,2,62200.0,208,26,130,75,40,43,65,4,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,14,54,19
2,1,2,42.0,1,1,0,1,3,0,1,2,0,1,6,9,0,34.0,3.0,12.0,2.953809463,101.6864277,2.0,587,326,1674,33,6,5,0,2,61250.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,14,54,19
3,0,0,32.0,0,1,0,7,3,9,2,0,0,1,3,7,0,58.0,0.0,10.0,2.971703373,101.6786169,2.0,788,326,1674,34,6,5,0,2,62300.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,15,26,5
0,1,2,40.0,2,2,0,8,0,9,1,11,1,1,5,9,2,54.0,2.0,18.0,2.925992147,101.7259705,2.0,265,326,1674,125,6,6,1,0,63450.0,208,26,70,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,15,45,51
1,1,1,39.0,0,1,0,1,0,0,1,10,0,2,3,8,0,43.0,5.0,17.0,2.94146915,101.7094355,2.0,442,326,1340,32,6,5,0,2,62000.0,208,26,130,75,40,43,35,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,15,52,41
4,0,0,55.0,0,1,0,7,0,7,0,0,0,1,3,7,0,58.0,2.0,11.0,2.959500865,101.7081422,2.0,653,326,1674,35,6,5,0,2,62502.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,16,1,30
0,1,2,46.0,0,1,0,8,3,7,1,0,2,1,4,7,0,56.0,1.0,15.0,2.932691012,101.6432777,2.0,353,326,1606,9,2,6,1,0,50600.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,16,34,6
3,0,2,46.0,0,1,1,10,0,10,2,5,2,2,6,10,0,16.0,1.0,20.0,2.943731299,101.7349606,1.0,472,326,692,125,6,6,1,0,62050.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,18,14,37
3,1,0,35.0,0,1,0,1,1,10,1,3,2,1,4,7,2,41.0,1.0,17.0,2.932445148,101.7365378,2.0,347,326,1674,125,6,6,1,0,63450.0,208,17,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,18,34,26
0,0,2,35.0,1,1,1,3,0,4,1,5,1,1,5,9,0,31.0,3.0,9.0,2.938365035,101.7021395,2.0,412,326,1339,32,6,5,0,2,62519.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,18,37,46
3,0,3,41.0,0,3,0,8,1,5,0,0,0,1,5,10,0,38.0,5.0,9.0,2.961409415,101.6954655,3.0,679,326,1674,36,6,5,0,2,62502.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,18,48,34
3,0,0,31.0,1,1,0,8,2,3,0,4,0,1,4,9,2,51.0,4.0,18.0,2.909508314,101.7448743,2.0,60,326,1674,125,6,6,1,0,63450.0,174,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,18,57,46
3,0,0,34.0,0,1,0,8,2,2,0,3,0,1,5,9,1,23.0,1.0,18.0,2.920341513,101.7127793,3.0,192,326,1625,125,6,6,1,0,62000.0,208,8,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,18,57,46
3,0,0,36.0,0,1,0,1,0,4,0,0,0,2,4,8,0,37.0,5.0,12.0,2.938475943,101.6852813,1.0,414,98,770,47,6,5,0,2,62250.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,20,9,18
3,2,3,33.0,0,3,0,9,0,0,1,2,0,1,4,10,2,15.0,0.0,14.0,2.920208022,101.7141611,1.0,190,326,1625,125,6,6,1,0,62000.0,208,8,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,20,21,3
3,2,0,51.0,0,1,0,1,0,1,1,9,0,1,6,9,0,60.0,2.0,18.0,2.911034456,101.7459985,2.0,81,326,1674,125,6,6,1,0,63450.0,174,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,20,21,3
1,0,1,46.0,0,1,2,9,1,4,0,0,0,0,3,7,0,53.0,2.0,11.0,2.962275698,101.6918951,1.0,687,326,1674,34,6,5,0,2,61250.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,20,21,3
4,0,1,51.0,0,1,0,9,0,8,0,9,0,1,6,8,0,35.0,5.0,21.0,2.932841078,101.6624616,2.0,355,326,1674,125,2,6,1,0,61250.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,20,32,37
2,1,0,40.0,0,1,0,9,0,8,1,0,1,1,5,7,0,50.0,5.0,14.0,2.938229596,101.7328228,1.0,411,326,1674,38,6,5,0,2,62050.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,20,44,46
3,2,0,28.0,0,1,0,1,0,1,0,3,0,1,3,9,2,39.0,2.0,11.0,2.922380929,101.687864,1.0,217,326,764,42,6,5,0,2,62100.0,208,26,130,75,40,43,65,7,16,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,20,48,32
2,1,1,49.0,0,1,0,8,0,9,1,10,1,1,4,8,0,31.0,3.0,14.0,2.919551168,101.668476,3.0,181,326,1674,125,2,6,1,0,62100.0,73,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,21,39,30
2,1,0,48.0,0,1,0,8,3,0,1,1,1,1,5,10,1,32.0,5.0,11.0,2.916453312,101.7460087,2.0,140,326,1674,125,6,6,1,0,63450.0,174,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,21,44,10
4,0,0,40.0,2,2,0,5,0,0,1,0,0,0,5,9,0,24.0,1.0,16.0,2.943119223,101.7154266,2.0,466,326,1674,37,6,5,0,2,62050.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,21,5,59
2,0,0,42.0,0,1,2,10,2,8,1,0,0,1,5,7,0,55.0,4.0,15.0,2.91001756,101.6719134,3.0,70,326,1620,16,2,6,1,0,62100.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,22,4,52
1,1,1,54.0,0,1,0,10,0,10,2,0,0,1,3,9,0,20.0,4.0,16.0,2.965581773,101.6384887,3.0,711,326,1674,125,6,6,1,0,47120.0,208,15,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,22,4,52
1,1,3,38.0,0,3,0,9,0,9,1,0,0,1,3,8,0,40.0,5.0,14.0,2.914720246,101.7026826,1.0,121,326,1674,40,6,6,1,0,62150.0,208,8,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,22,10,28
0,0,2,39.0,1,1,0,1,0,1,0,12,1,1,6,7,0,15.0,2.0,13.0,2.94670685,101.727935,3.0,511,326,458,49,6,5,0,2,50600.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,22,12,39
3,2,2,53.0,2,4,0,10,1,2,0,1,0,1,6,8,0,43.0,4.0,16.0,2.968579156,101.6453175,3.0,746,326,1674,125,6,6,1,0,47110.0,208,26,130,75,40,43,65,7,165,2,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,22,18,1
3,1,2,29.0,2,2,0,0,3,10,1,2,0,1,3,10,1,31.0,0.0,18.0,2.921287496,101.6791926,1.0,201,326,768,125,6,5,0,2,62100.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,22,20,42
2,1,0,43.0,0,1,0,1,0,10,1,0,0,1,6,10,0,36.0,0.0,11.0,2.903208575,101.6367534,3.0,0,326,1545,8,2,6,1,0,63000.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,22,24,54
2,0,0,29.0,2,4,1,10,3,2,1,1,0,1,5,8,0,56.0,4.0,21.0,2.918987501,101.6855577,1.0,175,326,1597,43,6,5,0,2,62100.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,22,24,54
3,0,2,50.0,2,2,0,0,0,4,1,5,0,1,3,8,0,44.0,0.0,14.0,2.920738346,101.7324981,1.0,195,326,336,125,6,6,1,0,63450.0,50,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,22,37,12
3,2,2,51.0,0,1,1,0,0,0,1,5,0,2,3,9,0,33.0,5.0,15.0,2.92582691,101.7381869,2.0,263,326,1674,125,6,6,1,0,63450.0,50,17,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,22,52,52
3,1,2,28.0,2,2,0,10,0,10,1,2,0,1,4,10,0,60.0,3.0,16.0,2.97132764,101.6818507,2.0,782,326,1674,34,6,5,0,2,62300.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,22,54,56
2,0,1,55.0,1,0,2,10,3,1,1,3,1,1,3,9,0,60.0,5.0,14.0,2.919032094,101.6630788,1.0,176,326,519,15,2,6,1,0,63000.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,22,59,55
2,1,2,33.0,0,1,1,9,0,10,1,0,0,2,5,10,0,27.0,0.0,8.0,2.957446652,101.6609054,3.0,628,326,1362,12,2,6,1,0,62300.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,23,8,44
2,1,1,49.0,1,1,1,10,1,1,0,0,0,1,6,10,2,38.0,3.0,21.0,2.929765556,101.685258,2.0,310,326,1674,47,6,5,0,2,62250.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,23,8,44
3,1,2,42.0,0,1,2,8,0,2,0,10,0,0,4,8,1,24.0,3.0,19.0,2.943371984,101.7466686,2.0,469,27,274,125,6,6,1,0,43650.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,23,15,42
3,0,1,45.0,0,1,0,6,1,8,0,0,0,0,3,7,0,26.0,2.0,16.0,2.919387484,101.6704071,2.0,179,326,1674,125,2,6,1,0,62100.0,73,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,20,0,4,56
2,2,2,30.0,0,1,2,10,0,0,1,11,1,1,6,7,0,13.0,2.0,13.0,2.92153352,101.6713196,2.0,206,326,1674,125,2,6,1,0,62100.0,73,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,21,2,17,42
2,2,0,44.0,0,1,1,1,0,1,2,11,1,1,4,8,0,17.0,3.0,10.0,2.910196243,101.6711649,1.0,74,326,1620,16,2,6,1,0,62100.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,21,7,35,52
0,2,1,54.0,0,1,0,9,3,1,1,10,0,1,3,7,0,53.0,0.0,14.0,2.965247798,101.6639004,3.0,708,326,1674,34,6,5,0,2,62300.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,21,7,58,48
0,2,2,43.0,0,1,0,11,0,4,1,11,0,1,3,8,0,11.0,3.0,18.0,2.929160659,101.7405425,2.0,300,326,1674,125,6,6,1,0,63450.0,208,17,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,21,11,21,4
3,1,2,32.0,0,3,2,9,0,2,1,2,0,1,4,8,2,12.0,3.0,9.0,2.954092424,101.6897865,2.0,589,326,1609,33,6,5,0,2,62250.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,21,11,56,35
3,2,3,29.0,0,3,0,8,0,4,1,3,0,1,5,8,0,41.0,5.0,16.0,2.957506738,101.6430859,1.0,629,326,1674,125,2,6,1,0,47120.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,21,11,56,35
0,1,2,40.0,0,3,1,10,0,8,1,10,0,1,3,9,2,49.0,0.0,21.0,2.93563453,101.6424992,3.0,388,326,1674,7,2,6,1,0,63200.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,21,12,1,57
0,2,2,31.0,0,3,0,10,0,0,1,5,0,1,5,8,0,25.0,1.0,10.0,2.919485995,101.6453034,3.0,180,326,1612,125,2,6,1,0,63000.0,98,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,21,12,1,57
3,0,2,31.0,0,1,0,8,0,1,0,0,0,1,5,10,0,27.0,1.0,7.0,2.92845186,101.6737553,2.0,290,62,768,46,6,5,0,2,62250.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,21,12,32,17
0,1,2,54.0,0,1,1,10,0,8,1,0,0,2,3,8,0,15.0,0.0,11.0,2.969405623,101.6598108,2.0,757,326,1674,125,6,6,1,0,47110.0,208,26,89,0,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,21,12,44,1
3,0,2,40.0,0,1,0,8,0,10,0,0,0,1,6,10,0,60.0,2.0,21.0,2.936189794,101.7247492,1.0,396,326,1674,38,6,5,0,2,62050.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,21,13,4,37
3,1,1,40.0,0,1,1,10,0,3,1,2,0,1,5,7,0,54.0,4.0,21.0,2.960194395,101.7175065,2.0,661,326,1631,125,6,6,1,0,62500.0,208,26,34,27,20,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,21,13,4,37
0,0,0,45.0,0,1,0,1,0,4,0,11,0,1,3,10,2,50.0,5.0,7.0,2.923278148,101.6872035,2.0,231,326,1597,42,6,5,0,2,62675.0,208,26,130,75,40,43,65,7,165,20,37,97,34,4,4,2,56,2,14,10,1,8,7,2,1,1,1,0,0,0,0,0,0,2015,10,21,14,18,47
